core_width,gap,ratio,coupling_length
0.75,0.25,0.1,2.5824396274347623
0.75,0.25,0.25,4.202517162766014
0.75,0.25,0.5,6.303775744149021
0.75,0.5,0.1,5.296305683410167
0.75,0.5,0.25,8.618910311524287
0.75,0.5,0.5,12.928365467286431
0.75,1.0,0.1,19.76430721584781
0.75,1.0,0.25,32.16332316248074
0.75,1.0,0.5,48.244984743721105
1.0,0.25,0.1,4.576921056976031
1.0,0.25,0.25,7.448224187015517
1.0,0.25,0.5,11.172336280523275
1.0,0.5,0.1,10.401975956028444
1.0,0.5,0.25,16.92759126582651
1.0,0.5,0.5,25.391386898739768
1.0,1.0,0.1,44.137538121499716
1.0,1.0,0.25,71.82694979866577
1.0,1.0,0.5,107.74042469799865
1.25,0.25,0.1,7.650701665027448
1.25,0.25,0.25,12.45032205706137
1.25,0.25,0.5,18.675483085592056
1.25,0.5,0.1,18.576748454647973
1.25,0.5,0.25,30.230756754067553
1.25,0.5,0.5,45.346135131101335
1.25,1.0,0.1,81.75842429345519
1.25,1.0,0.25,133.04906633393546
1.25,1.0,0.5,199.57359950090319
1.5,0.25,0.1,11.863965547093263
1.5,0.25,0.25,19.30675098865739
1.5,0.25,0.5,28.960126482986087
1.5,0.5,0.1,30.37236357175804
1.5,0.5,0.25,49.42627809304204
1.5,0.5,0.5,74.13941713956307
1.5,1.0,0.1,178.69734017867432
1.5,1.0,0.25,290.8020118121762
1.5,1.0,0.5,436.20301771826433
